expenditure_type,sector,dp_code,account_head,amount_thousand,amount_crore,simplified_sector
revenue_services,education,230-11-01-01,EDUCATION QUALITY IMPROVEMENT-SPECIAL CLASS EXPENSES,48000,4.8,education
revenue_services,education,230-11-02-02,EDUCATION EXPENSES - OTHERS,200500,20.05,education
revenue_services,environment,230-15-01-00,PRIVATISATION - CONSERVANCY,6700015,670.0015,environment
revenue_services,public_welfare,230-15-03-00,PRIVATISATION - SLAUGHTER HOUSE,1000,0.1,public_welfare
revenue_services,environment,230-15-04-00,PRIVATISATION - PARKS,550000,55.0,environment
revenue_services,education,230-15-05-00,PRIVATISATION - SCHOOL MAINTENANCE,165500,16.55,education
revenue_services,environment,230-15-06-00,PRIVATISATION - GASIFIER,88500,8.85,environment
revenue_services,water_sanitation,230-15-08-00,PRIVATISATION - PUBLIC CONVENIENCE,237500,23.75,water_sanitation
revenue_services,healthcare,230-15-09-00,PRIVATISATION - HEALTH WORKS,170000,17.0,healthcare
revenue_services,administration,230-20-03-06,FUEL - VEHICLES,1100000,110.0,administration
revenue_services,healthcare,230-20-04-01,MEDICINE-MALARIA STORE,1,0.0001,healthcare
revenue_services,healthcare,230-20-04-02,MEDICINE-HEALTH STORE,80000,8.0,healthcare
revenue_services,healthcare,230-20-04-04,MEDICINE-DIRECT PURCHASE,6004,0.6004,healthcare
revenue_services,administration,230-20-05-01,STATIONERY-STATIONERY STORE,8000,0.8,administration
revenue_services,environment,230-20-06-01,CONSERVANCY MATERIALS-GENERAL STORE,10000,1.0,environment
revenue_services,environment,230-20-06-03,CONSERVANCY MATERIALS-ZONES,12509,1.2509,environment
revenue_services,healthcare,230-20-07-00,OTHER MEDICAL & HOSPITAL EXPENSES,6902,0.6902,healthcare
revenue_services,healthcare,230-20-08-00,DIET TO PATIENTS,10507,1.0507,healthcare
revenue_services,healthcare,230-20-08-01,HOSTEL FOOD EXPENSES,3500,0.35,healthcare
revenue_services,public_welfare,230-20-09-00,PURCHASE OF RICE,203,0.0203,public_welfare
revenue_services,public_welfare,230-20-10-00,PURCHASE OF PROVISIONS,600203,60.0203,public_welfare
revenue_services,public_welfare,230-20-10-01,PURCHASE OF PROVISIONS (CMBFS),40000,4.0,public_welfare
revenue_services,public_welfare,230-20-11-00,PURCHASE OF VEGETABLES,180003,18.0003,public_welfare
revenue_services,public_welfare,230-20-11-01,PURCHASE OF VEGETABLES (CMBFS),12000,1.2,public_welfare
revenue_services,public_welfare,230-20-12-00,ANIMAL FEEDS,6000,0.6,public_welfare
revenue_services,energy,230-20-13-01,ELECTRICAL INSTALLATIONS-LAMP POSTS,50000,5.0,energy
revenue_services,energy,230-20-13-02,ELECTRICAL INSTALLATIONS-CABLES,20000,2.0,energy
revenue_services,energy,230-20-13-03,ELECTRICAL INSTALLATIONS-LIGHT FITTINGS,50001,5.0001,energy
revenue_services,energy,230-20-13-05,ELECTRICAL INSTALLATIONS-OTHER FITTINGS,270303,27.0303,energy
revenue_services,energy,230-20-13-08,MAINTENANCE- ELECTRICAL EQUIPMENTS,30500,3.05,energy
revenue_services,energy,230-20-13-09,MAINTENANCE- BUILDING (ELECTRICAL),30000,3.0,energy
revenue_services,administration,230-20-14-02,HEAVY MOTOR VEHICLES-OUTSIDE REPAIR CHARGES,11,0.0011,administration
revenue_services,administration,230-20-15-02,LIGHT MOTOR VEHICLES-OUTSIDE REPAIR CHARGES,3016,0.3016,administration
revenue_services,administration,230-20-16-01,MATERIALS-OTHER VEHICLES,80000,8.0,administration
revenue_services,administration,230-20-16-02,OUTSIDE REPAIR CHARGES,200000,20.0,administration
revenue_services,healthcare,230-20-19-00,PURCHASE - INSECTICIDES,130000,13.0,healthcare
revenue_services,social_welfare,230-20-20-00,DE-ADDICTION CENTRE / OLD AGE HOME EXPENSES,501,0.0501,social_welfare
revenue_services,social_welfare,230-20-21-00,NIGHT SHELTERS (NGO),66000,6.6,social_welfare
revenue_services,healthcare,230-51-03-02,COMMUNICABLE DISEASE HOSPITAL BUILDING,5000,0.5,healthcare
revenue_services,public_welfare,230-51-03-05,AMMA UNAVAGAM MAINTENANCE,100501,10.0501,public_welfare
revenue_services,environment,230-51-03-06,MICRO COMPOST PLANT,170000,17.0,environment
revenue_services,public_welfare,230-51-03-08,CMBFS EXPENSES,29500,2.95,public_welfare
revenue_services,healthcare,230-51-03-09,URBAN PRIMARY HEALTH CENTRE (UPHC),47000,4.7,healthcare
revenue_services,healthcare,230-51-03-10,URBAN COMMUNITY HEALTH CENTRE (UCHC),33300,3.33,healthcare
revenue_services,healthcare,230-51-03-11,URBAN HEALTH AND WELLNESS CENTRE (UHWC),24501,2.4501,healthcare
revenue_services,social_welfare,230-51-03-12,SHELTER FOR HOMELESS,22502,2.2502,social_welfare
revenue_services,education,230-51-04-01,PRIMARY SCHOOL,85000,8.5,education
revenue_services,education,230-51-04-02,MIDDLE SCHOOL,82500,8.25,education
revenue_services,education,230-51-04-03,HIGH SCHOOL,60500,6.05,education
revenue_services,education,230-51-04-04,HIGHER SECONDARY SCHOOL,68000,6.8,education
revenue_services,education,230-51-04-06,ANGANVADI CENTRES,55000,5.5,education
revenue_services,administration,230-51-05-01,OFFICE BUILDINGS-RIPON BUILDINGS,20000,2.0,administration
revenue_services,administration,230-51-05-02,OFFICE BUILDINGS-ZONAL OFFICE BUILDINGS,68000,6.8,administration
revenue_services,administration,230-51-05-03,OFFICE BUILDINGS-UNIT OFFICE BUILDINGS,35501,3.5501,administration
revenue_services,administration,230-51-05-04,OFFICE BUILDINGS-WARD OFFICE BUILDINGS,66000,6.6,administration
revenue_services,water_sanitation,230-51-05-06,AMMA KUDINEER,40501,4.0501,water_sanitation
revenue_services,urban_development,230-51-06-01,SHOPPING COMPLEXES,20000,2.0,urban_development
revenue_services,social_welfare,230-51-06-03,COMMUNITY CENTRES,70300,7.03,social_welfare
revenue_services,water_sanitation,230-51-06-04,PUBLIC CONVENIENCE,171201,17.1201,water_sanitation
revenue_services,social_welfare,230-51-06-05,DHOBIKHANA,501,0.0501,social_welfare
revenue_services,public_welfare,230-51-06-06,SLAUGHTER HOUSE,5000,0.5,public_welfare
revenue_services,urban_development,230-51-06-07,SWIMMING POOL,1,0.0001,urban_development
revenue_services,transport,230-52-01-00,SUBWAYS,2000,0.2,transport
revenue_services,infrastructure,230-53-01-00,BRIDGES,25000,2.5,infrastructure
revenue_services,water_sanitation,230-54-01-00,STORM WATER DRAINS,73000,7.3,water_sanitation
revenue_services,water_sanitation,230-54-02-00,CULVERTS,1,0.0001,water_sanitation
revenue_services,water_sanitation,230-54-03-00,STORM WATER DRAINS - DESILTING,336500,33.65,water_sanitation
revenue_services,administration,230-56-01-00,FURNITURE & FIXTURES,475,0.0475,administration
revenue_services,administration,230-56-03-00,OFFICE EQUIPMENTS,486,0.0486,administration
revenue_services,administration,230-57-01-00,PLANT,141,0.0141,administration
revenue_services,administration,230-57-02-00,MACHINERY,10372,1.0372,administration
revenue_services,administration,230-57-03-00,EQUIPMENT,742,0.0742,administration
revenue_services,transport,230-58-01-01,ROADS -CONCRETE,32500,3.25,transport
revenue_services,transport,230-58-01-02,ROADS -BLACKTOPPED,153000,15.3,transport
revenue_services,transport,230-58-02-00,PAVEMENTS,43500,4.35,transport
revenue_services,environment,230-67-01-00,PARKS,57002,5.7002,environment
revenue_services,environment,230-67-03-00,PLAY FIELDS,45000,4.5,environment
revenue_services,social_welfare,230-68-01-00,BURIAL GROUND,108500,10.85,social_welfare
revenue_services,environment,230-69-04-00,HDPE COMMUNITY BINS,7010,0.701,environment
revenue_services,public_welfare,230-70-01-00,FLOOD RELIEF WORKS - INTERIOR ROADS,15,0.0015,public_welfare
revenue_services,public_welfare,230-70-02-00,FLOOD RELIEF WORKS - BUS ROUTE ROADS,1,0.0001,public_welfare
revenue_services,public_welfare,230-70-03-00,FLOOD RELIEF - REPAIR WORKS - SWD,7,0.0007,public_welfare
revenue_services,public_welfare,230-70-04-01,FLOOD RELIEF - FOOD EXPENSES-CORPORATION,18,0.0018,public_welfare
revenue_services,public_welfare,230-70-04-02,FLOOD RELIEF - FOOD EXPENSES-PRIVATE,15,0.0015,public_welfare
revenue_services,public_welfare,230-70-05-00,FLOOD RELIEF - BAILING OF WATER,15,0.0015,public_welfare
revenue_services,public_welfare,230-70-06-00,FLOOD RELIEF WORKS-HIRE CHARGES,19,0.0019,public_welfare
revenue_services,public_welfare,230-70-07-00,FLOOD RELIEF WORKS-MEDICAL CAMP AND MEDICINES,15,0.0015,public_welfare
revenue_services,public_welfare,230-70-08-00,FLOOD RELIEF WORKS-LIGHTING ARRANGEMENTS,16,0.0016,public_welfare
revenue_services,public_welfare,230-70-09-00,FLOOD RELIEF WORKS-EQUIPMENTS,16,0.0016,public_welfare
revenue_services,public_welfare,230-70-10-00,FLOOD RELIEF - MANPOWER / OTHERS,17,0.0017,public_welfare
revenue_services,public_welfare,230-70-11-00,FLOOD RELIEF WORKS-BRIDGE REPAIR WORKS,1,0.0001,public_welfare
revenue_services,social_welfare,230-80-02-00,GYMNASIUM EXPENSES,1,0.0001,social_welfare
revenue_services,administration,230-80-03-00,VEHICLE - O & M CHARGES,330000,33.0,administration
revenue_services,administration,230-80-04-00,HIRE CHARGES,520035,52.0035,administration
revenue_services,environment,230-80-05-01,"COLLECTION, TRANSPORTATION & PROCESSING CHARGES",500000,50.0,environment
revenue_services,other,230-80-06-00,OTHER EXPENSES,296271,29.6271,other
revenue_services,water_sanitation,230-80-09-00,WATERWAYS CLEANING EXPENSES,5000,0.5,water_sanitation
revenue_services,urban_development,230-80-12-00,SMART CITY MISSION EXPENSES,50002,5.0002,urban_development
revenue_services,urban_development,230-80-14-00,PEDESTRAIN PLAZA MAINENANCE,3000,0.3,urban_development
revenue_services,safety_policing,230-80-15-00,NIRBHYA SCHEME WORKS,30000,3.0,safety_policing
revenue_services,revenue,240-30-04-00,INTEREST ON TNUDF LOAN,14000,1.4,revenue
revenue_services,revenue,240-30-06-00,INTEREST ON TUFDCO (MIDF) LOAN,136500,13.65,revenue
revenue_services,revenue,240-30-06-01,Interest on TUFDCO (SRP) Loan,25000,2.5,revenue
revenue_services,revenue,240-70-00-00,INTEREST ON BANK LOAN,210000,21.0,revenue
revenue_services,revenue,240-70-00-01,INTEREST ON WORLD BANK LOAN,560000,56.0,revenue
revenue_services,public_welfare,250-10-01-00,CORPORATION ELECTION,18,0.0018,public_welfare
revenue_services,public_welfare,250-20-01-00,ANTI MALARIA PROGRAMME,1,0.0001,public_welfare
revenue_services,public_welfare,250-20-04-00,PREVENTION OF CHOLERA,1,0.0001,public_welfare
revenue_services,public_welfare,250-20-04-01,PREVENTION OF T.B.,1,0.0001,public_welfare
revenue_services,public_welfare,250-20-05-00,PARA MEDICAL COURSE FUND (CDH),50,0.005,public_welfare
revenue_services,public_welfare,250-20-06-00,SCHOOL HEALTH PROGRAMME,20000,2.0,public_welfare
revenue_services,public_welfare,250-20-07-00,GARDEN IMPROVEMENTS,500,0.05,public_welfare
revenue_services,public_welfare,250-20-08-00,TREE PLANTING EXPENSES,10000,1.0,public_welfare
revenue_services,public_welfare,250-20-09-00,SPORTS EXPENSES,35001,3.5001,public_welfare
revenue_services,public_welfare,250-20-10-00,EXHIBITION EXPENSES,13503,1.3503,public_welfare
revenue_services,public_welfare,250-30-01-00,FAMILY WELFARE PROGRAMME,12000,1.2,public_welfare
revenue_services,public_welfare,250-30-01-01,DOCTOR CONSULTATION CHARGES,5000,0.5,public_welfare
revenue_services,other,271-90-03-00,PAYMENT OF 0.25% TO C.M.D.A.,500,0.05,other
revenue_services,other,271-90-04-00,COMPENSATION-OTHERS,17,0.0017,other
revenue_services,other,271-90-05-00,INCENTIVE - PROPERTY OWNERS,200000,20.0,other
revenue_services,education,SUMMARY,PAYMENT TO ELEMENTARY EDUCATION FUND | page 30 summary,3830645,383.0645,education
revenue_services,education,SUMMARY,LIBRARY CESS | page 30 summary,600000,60.0,education
revenue_services,administration,SUMMARY,CONTRIBUTION TO CAPITAL FUND | page 30 summary,3200000,320.0,administration
revenue_services,urban_development,SUMMARY,CONTRIBUTION TO MAYOR'S SPECIAL DEVELOPMENT FUND | page 30 summary,30000,3.0,urban_development
capital_goods,transport,412-10-08-09,TURIF (2021-22),2000,0.2,infrastructure
capital_goods,transport,412-10-08-10,TURIF (2022-23),5000,0.5,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),5000,0.5,infrastructure
capital_goods,water_sanitation,412-10-17-03,SBM 2.0-COMMUNITY TOILETS/URINALS,10000,1.0,infrastructure
capital_goods,urban_development,412-10-23-00,SINGARA CHENNAI 2.0,20000,2.0,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),20000,2.0,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,63000,6.3,infrastructure
capital_goods,education,412-40-04-06,ANGANVADI CENTRES,5000,0.5,infrastructure
capital_goods,education,412-40-05-12,CMBFS BUILDING,100,0.01,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,12000,1.2,infrastructure
capital_goods,water_sanitation,412-10-17-03,SBM 2.0-COMMUNITY TOILETS/URINALS,5000,0.5,infrastructure
capital_goods,urban_development,412-10-23-00,SINGARA CHENNAI 2.0,10000,1.0,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),10000,1.0,infrastructure
capital_goods,urban_development,412-10-23-04,STATE FINANCE COMMISSION (2022-23),10000,1.0,infrastructure
capital_goods,urban_development,412-10-23-05,STATE FINANCE COMMISSION (2023-24),6000,0.6,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,31500,3.15,infrastructure
capital_goods,transport,412-40-07-02,CONCRETE ROADS,1000,0.1,infrastructure
capital_goods,transport,412-40-08-02,BLACK TOPPED ROADS,1000,0.1,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,12000,1.2,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),38000,3.8,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),123600,12.36,infrastructure
capital_goods,urban_development,412-10-23-04,STATE FINANCE COMMISSION (2022-23),137600,13.76,infrastructure
capital_goods,urban_development,412-10-23-05,STATE FINANCE COMMISSION (2023-24),130800,13.08,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,54000,5.4,infrastructure
capital_goods,education,412-40-04-06,ANGANVADI CENTRES,1000,0.1,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,10000,1.0,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),47900,4.79,infrastructure
capital_goods,water_sanitation,412-10-17-03,SBM 2.0-COMMUNITY TOILETS/URINALS,1000,0.1,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),122000,12.2,infrastructure
capital_goods,urban_development,412-10-23-05,STATE FINANCE COMMISSION (2023-24),38700,3.87,infrastructure
capital_goods,urban_development,412-10-24-00,T.N. URBAN EMPLOYMENT SCHEME,10000,1.0,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,67500,6.75,infrastructure
capital_goods,energy,412-40-03-02,COMMUNICABLE DISEASE HOSPITAL BUILDING,5000,0.5,infrastructure
capital_goods,environment,412-40-06-09,BURIAL GROUND,1200,0.12,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,25000,2.5,infrastructure
capital_goods,water_sanitation,412-10-17-03,SBM 2.0-COMMUNITY TOILETS/URINALS,5000,0.5,infrastructure
capital_goods,urban_development,412-10-23-00,SINGARA CHENNAI 2.0,10000,1.0,infrastructure
capital_goods,urban_development,412-10-23-01,NAKARPURA SALAIKAL MEMPATTU THITTAM (2022-23),25000,2.5,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,67500,6.75,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,15000,1.5,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),200000,20.0,infrastructure
capital_goods,urban_development,412-10-24-00,T.N. URBAN EMPLOYMENT SCHEME,4000,0.4,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,67500,6.75,infrastructure
capital_goods,environment,412-40-01-00,PLAY GROUNDS,9800,0.98,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,25000,2.5,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),24000,2.4,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),290000,29.0,infrastructure
capital_goods,urban_development,412-10-23-04,STATE FINANCE COMMISSION (2022-23),40000,4.0,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,67500,6.75,infrastructure
capital_goods,urban_development,412-40-03-04,HEALTH POSTS,2000,0.2,infrastructure
capital_goods,urban_development,412-40-05-04,WARD OFFICE BUILDINGS,5000,0.5,infrastructure
capital_goods,urban_development,412-40-06-04,PUBLIC CONVENIENCE,1000,0.1,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,10000,1.0,infrastructure
capital_goods,healthcare,412-10-15-01,URBAN HEALTH WELLNESS CENTRES,2700,0.27,infrastructure
capital_goods,water_sanitation,412-10-17-03,SBM 2.0-COMMUNITY TOILETS/URINALS,10000,1.0,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,67500,6.75,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,15000,1.5,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),51500,5.15,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),28600,2.86,infrastructure
capital_goods,urban_development,412-10-23-05,STATE FINANCE COMMISSION (2023-24),24600,2.46,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,81000,8.1,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,10000,1.0,infrastructure
capital_goods,urban_development,412-40-30-04,HUDCO-CSR FUND,3630,0.363,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),29800,2.98,infrastructure
capital_goods,water_sanitation,412-10-17-03,SBM 2.0-COMMUNITY TOILETS/URINALS,20000,2.0,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,72000,7.2,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,20000,2.0,infrastructure
capital_goods,water_sanitation,412-10-17-03,SBM 2.0-COMMUNITY TOILETS/URINALS,2000,0.2,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),176300,17.63,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,58500,5.85,infrastructure
capital_goods,transport,412-40-08-02,BLACK TOPPED ROADS,5000,0.5,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,15000,1.5,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),32100,3.21,infrastructure
capital_goods,urban_development,412-10-23-01,NAKARPURA SALAIKAL MEMPATTU THITTAM (2022-23),130000,13.0,infrastructure
capital_goods,urban_development,412-10-23-04,STATE FINANCE COMMISSION (2022-23),20000,2.0,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,54000,5.4,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,10000,1.0,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),218800,21.88,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,58500,5.85,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,10000,1.0,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),19300,1.93,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),146000,14.6,infrastructure
capital_goods,urban_development,412-10-23-05,STATE FINANCE COMMISSION (2023-24),20000,2.0,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,49500,4.95,infrastructure
capital_goods,transport,412-40-08-02,BLACK TOPPED ROADS,3000,0.3,infrastructure
capital_goods,water_sanitation,412-40-11-00,STORM WATER DRAIN,3000,0.3,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,10000,1.0,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),37300,3.73,infrastructure
capital_goods,water_sanitation,412-10-17-03,SBM 2.0-COMMUNITY TOILETS/URINALS,5000,0.5,infrastructure
capital_goods,urban_development,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),168000,16.8,infrastructure
capital_goods,urban_development,412-10-23-04,STATE FINANCE COMMISSION (2022-23),76500,7.65,infrastructure
capital_goods,urban_development,412-10-23-05,STATE FINANCE COMMISSION (2023-24),152000,15.2,infrastructure
capital_goods,urban_development,412-20-03-00,MAYOR SPECIAL DEVELOPMENT FUND WORKS,2000,0.2,infrastructure
capital_goods,urban_development,412-20-04-00,COUNCILLOR WARD IMPROVEMENT WORKS,40500,4.05,infrastructure
capital_goods,urban_development,412-40-06-04,PUBLIC CONVENIENCE,3000,0.3,infrastructure
capital_goods,urban_development,412-40-06-08,GYM BUILDING,500,0.05,infrastructure
capital_goods,environment,412-40-06-09,BURIAL GROUND,1000,0.1,infrastructure
capital_goods,transport,412-40-07-02,CONCRETE ROADS,1000,0.1,infrastructure
capital_goods,transport,412-40-08-02,BLACK TOPPED ROADS,3000,0.3,infrastructure
capital_goods,water_sanitation,412-40-11-00,STORM WATER DRAIN,5000,0.5,infrastructure
capital_goods,urban_development,412-40-30-00,MISCELLANEOUS WORKS,15000,1.5,infrastructure
capital_goods,infrastructure,412-10-15-00,NUHM-HEALTH DEPARTMENT BUILDINGS,30000,3.0,infrastructure
capital_goods,infrastructure,412-10-17-03,SBM 2.0-COMMUNITY TOILETS/URINALS,5000,0.5,infrastructure
capital_goods,infrastructure,412-10-20-00,NULM-NIGHT SHELTERS,20000,2.0,infrastructure
capital_goods,infrastructure,412-10-23-00,SINGARA CHENNAI 2.0,1300000,130.0,infrastructure
capital_goods,infrastructure,412-40-03-01,HEALTH DEPARTMENT BUILDINGS,30000,3.0,infrastructure
capital_goods,infrastructure,412-40-04-01,PRIMARY SCHOOL BUILDINGS,10000,1.0,infrastructure
capital_goods,infrastructure,412-40-04-02,MIDDLE SCHOOL BUILDINGS,10000,1.0,infrastructure
capital_goods,infrastructure,412-40-04-03,HIGH SCHOOL BUILDINGS,10000,1.0,infrastructure
capital_goods,infrastructure,412-40-04-04,HIGHER SECONDARY SCHOOL BUILDINGS,10000,1.0,infrastructure
capital_goods,infrastructure,412-40-04-05,NNMP SHEDS,2000,0.2,infrastructure
capital_goods,infrastructure,412-40-05-01,RIPON BUILDINGS,10000,1.0,infrastructure
capital_goods,infrastructure,412-40-06-03,COMMUNITY CENTRES,10000,1.0,infrastructure
capital_goods,infrastructure,412-40-30-00,MISCELLANEOUS WORKS,15000,1.5,infrastructure
capital_goods,transport,412-10-08-11,TURIF (2023-24),500000,50.0,infrastructure
capital_goods,transport,412-10-23-00,SINGARA CHENNAI 2.0,500000,50.0,infrastructure
capital_goods,transport,412-10-23-01,NAKARPURA SALAIKAL MEMPATTU THITTAM (2022-23),700000,70.0,infrastructure
capital_goods,transport,412-10-23-03,NAKARPURA SALAIKAL MEMPATTU THITTAM (2023-24),700000,70.0,infrastructure
capital_goods,transport,412-10-23-04,STATE FINANCE COMMISSION (2022-23),700000,70.0,infrastructure
capital_goods,transport,412-10-23-05,STATE FINANCE COMMISSION (2023-24),700000,70.0,infrastructure
capital_goods,transport,412-40-08-01,BLACK TOPPED-BUS ROUTE ROADS,50000,5.0,infrastructure
capital_goods,transport,412-40-08-04,TRAFFIC IMPROVEMENTS,40000,4.0,infrastructure
capital_goods,transport,412-40-08-05,BUS SHELTERS,10000,1.0,infrastructure
capital_goods,water_sanitation,412-10-14-02,STATE DISASTER MITIGATION FUND,350000,35.0,infrastructure
capital_goods,water_sanitation,412-10-18-01,AMRUT 2.0.,110000,11.0,infrastructure
capital_goods,water_sanitation,412-10-19-00,SMART CITY SCHEME,50000,5.0,infrastructure
capital_goods,water_sanitation,412-10-23-00,SINGARA CHENNAI 2.0,250000,25.0,infrastructure
capital_goods,water_sanitation,412-40-11-00,STORM WATER DRAIN,200000,20.0,infrastructure
capital_goods,water_sanitation,412-40-11-02,STORM WATER DRAIN (KfW),6000000,600.0,infrastructure
capital_goods,water_sanitation,412-40-11-03,STORM WATER DRAIN (ADB),6250000,625.0,infrastructure
capital_goods,education,410-40-20-00,SCHOOL LABORATORY EQUIPMENTS,10000,1.0,infrastructure
capital_goods,education,410-60-02-00,COMPUTERS,1000,0.1,infrastructure
capital_goods,education,410-60-03-00,STABILISERS & UPS,500,0.05,infrastructure
capital_goods,education,410-60-04-00,PRINTERS,1000,0.1,infrastructure
capital_goods,education,410-60-06-00,NETWORK EQUIPMENTS,5000,0.5,infrastructure
capital_goods,education,410-60-08-00,PHOTO COPIER,500,0.05,infrastructure
capital_goods,education,410-70-01-00,CHAIR,10000,1.0,infrastructure
capital_goods,education,410-70-02-00,TABLE,10000,1.0,infrastructure
capital_goods,education,410-80-00-00,OTHER FIXED ASSETS,10000,1.0,infrastructure
